data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
4589754,275,PSE4108,4108,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (Israel)","Settlers (Israel)",5,"Civilians (Palestine)",,7,57,"Middle East",Palestine,"West Bank",Salfit,,Urif,32.1595,35.2223,1,"Ma'an News Agency",Subnational,"On Nov 14, a group of settlers set a Palestinian vehicle on fire in the village of Urif. Settlers also sprayed racist graffiti and threw stones at passing Palestinian vehicles.",0,1552576432,PSE
4589829,50,BGD13908,13908,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (Bangladesh)","Vigilante Group (Bangladesh)",5,"Civilians (Bangladesh)",,7,57,"Southern Asia",Bangladesh,Dhaka,Narayanganj,Narayanganj,Chashara,23.6266,90.4994,1,"Daily Star (Bangladesh)",National,"On Nov 14, a youth was killed following a mob beating in Chashara in Narayanganj. The victim was accused of a robbery.",1,1552576432,BGD
4589830,50,BGD13909,13909,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (Bangladesh)","BNP: Bangladesh Nationalist Party",5,"Police Forces of Bangladesh (2009-)",,1,15,"Southern Asia",Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka-Paltan,23.7362,90.4142,1,"United News of Bangladesh",National,"On Nov 14, BNP activists and police clashed in front of the party's Nayapaltan central office in Dhaka city. 50 people, including 23 policemen were injured.",0,1552576432,BGD
4589944,50,BGD13910,13910,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (Bangladesh)","Labour Group (Bangladesh)",5,"Police Forces of Bangladesh (2009-)",,1,15,"Southern Asia",Bangladesh,Chittagong,Chittagong,Anwara,Anwara,22.2204,91.9074,2,"Daily Star (Bangladesh)",National,"On Nov 14, the motorcycle of a traffic policeman was torched and a police box vandalised over allegations of police trying to extort money from a lorry driver in Anwara upazila of Chittagong.",0,1552576432,BGD
4589945,356,IND40051,40051,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)","Health Workers (India)",7,57,"Southern Asia",India,"West Bengal",Malda,Malda,Malda,25.0107,88.1409,1,"Telegraph (India)",National,"On November 14, family members and relatives of a healer who was under treatment at Malda Medical College and Hospital in Malda city (Malda district, West Bengal) vandalized the office of the patient assistance centre after the patient died.",0,1552576432,IND
4589846,356,IND40055,40055,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (India)","INC: Indian National Congress",5,"Rioters (India)","TRS: Telangana Rashtra Samithi",5,55,"Southern Asia",India,Telangana,Suryapet,"Mattam Palle",Raghunadhapalem,17.2914,80.2053,1,"Hans India",Subnational,"On November 14, in Raghunadhapalem village in Mattam Palle Tehsil (Suryapet, Telangana), Congress and TRS workers clashed over the accidental death of a youth, leaving 20 people injured. Police intervened and took 25 persons into their custody.",0,1552576432,IND
4589847,356,IND40056,40056,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Police Forces of India (2014-)",,1,15,"Southern Asia",India,Odisha,Balasore,Balasore,Kasipada,21.6147,87.0229,1,"Odisha Sun Times (India)",Subnational,"On November 14, a group of 10-12 persons attacked police personnel in Kasipada village (Balasore district, Odisha), and freed two persons who were arrested by the cops during a liquor raid. The attackers assaulted the policemen with lathis and vandalized a vehicle. As many as three constables, including a woman, sustained injuries in the attack.",0,1552576432,IND
4589848,356,IND40057,40057,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)","Government of India (2014-); Labour Group (India)",7,57,"Southern Asia",India,Maharashtra,Thane,Kalyan,Kalyan,19.2437,73.1355,1,"Hindustan Times (India)",National,"On November 14, in Kalyan city (Thane, Maha), a group of villagers attacked three Municipal Corporation officials over surveying disputed land, leaving the three officials injured.",0,1552576432,IND
4589874,356,IND40083,40083,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (India)",,5,"Civilians (India)","Former Government of India (2014-)",7,57,"Southern Asia",India,"Uttar Pradesh",Ghaziabad,Ghaziabad,Khora,28.7545,77.4007,1,"Times of India",National,"On 14 November, unidentified individuals threw stones at former Sahibabad MLA Amarpal Sharma during a Chhath Puja ritual in Khora (Ghaziabad, Uttar Pradesh). No one was injured and no reason was known for the incident.",0,1552576432,IND
4589898,144,SRI2808,2808,"14 November 2018",2018,1,Riots,"Mob violence","Rioters (Sri Lanka)","UNP: United National Party",5,"Rioters (Sri Lanka)","UPFA: United People's Freedom Alliance",5,55,"Southern Asia","Sri Lanka",Western,Colombo,"Sri Jayawardanapura Kotte","Sri Jayawardenepura Kotte",6.883,79.9071,1,"Ada Derana; Sunday Times (Sri Lanka)",National,"On 14 Nov, in Sri Jayawardenepura Kotte city (Colombo), UPFA and UNP supporters clashed near the Parliament entry road as Parliament reconvenes and voted on the appointment of the new PM. Police were deployed to control the situation. The source did not mention weapons used in the clash.",0,1552576432,LKA
